iter	Passed	Remaining
411	4296	16559
412	4304	16540
413	4317	16539
414	4327	16526
415	4337	16516
416	4348	16506
417	4363	16515
418	4376	16514
419	4389	16514
420	4404	16517
421	4414	16508
422	4422	16488
423	4435	16486
424	4444	16469
425	4454	16458
426	4465	16448
427	4475	16437
428	4484	16420
429	4493	16405
430	4502	16389
431	4554	16529
432	4591	16617
433	4633	16719
434	4671	16808
435	4687	16815
436	4700	16810
437	4719	16831
438	4748	16886
439	4761	16880
440	4772	16870
441	4784	16864
442	4795	16853
443	4807	16847
444	4818	16838
445	4830	16831
446	4845	16835
447	4860	16838
448	4874	16839
449	4899	16874
450	4916	16887
451	4932	16891
452	4946	16890
453	4960	16893
454	4972	16884
455	4988	16891
456	5000	16882
457	5019	16899
458	5033	16899
459	5046	16895
460	5062	16902
461	5083	16922
462	5099	16927
463	5114	16929
464	5129	16932
465	5145	16939
466	5160	16940
467	5177	16947
468	5193	16952
469	5207	16952
470	5216	16935
471	5229	16930
472	5245	16935
473	5260	16935
474	5272	16927
475	5291	16942
476	5304	16935
477	5324	16952
478	5337	16949
479	5354	16955
480	5369	16956
481	5385	16961
482	5399	16957
483	5418	16971
484	5436	16981
485	5458	17003
486	5472	17002
487	5487	17003
488	5503	17004
489	5515	16996
490	5528	16990
491	5541	16984
492	5555	16982
493	5569	16979
494	5584	16978
495	5593	16961
496	5605	16950
497	5617	16943
498	5627	16926
499	5638	16915
500	5651	16909
501	5660	16890
502	5670	16875
503	5683	16870
504	5697	16867
505	5708	16853
506	5719	16842
507	5731	16832
508	5740	16815
509	5752	16804
510	5764	16795
511	5772	16776
512	5785	16769
513	5793	16749
514	5803	16734
515	5812	16715
516	5824	16708
517	5834	16691
518	5843	16675
519	5852	16657
520	5863	16646
521	5872	16627
522	5882	16611
523	5895	16607
524	5905	16591
525	5916	16579
526	5929	16572
527	5941	16565
528	5961	16578
529	5975	16574
530	5985	16557
531	5999	16554
532	6013	16551
533	6026	16545
534	6035	16527
535	6048	16520
536	6058	16507
537	6077	16515
538	6088	16504
539	6098	16487
540	6107	16471
541	6117	16455
542	6131	16452
543	6142	16439
544	6153	16428
545	6164	16416
546	6178	16410
547	6187	16395
548	6207	16406
549	6220	16398
550	6229	16381
551	6238	16364
552	6249	16352
553	6259	16336
554	6268	16320
555	6279	16307
556	6289	16294
557	6301	16284
558	6315	16281
559	6325	16265
560	6334	16249
561	6345	16236
562	6356	16224
563	6368	16213
564	6378	16199
565	6386	16181
566	6395	16163
567	6404	16146
568	6413	16129
569	6422	16112
570	6439	16114
571	6450	16104
572	6467	16106
573	6489	16122
574	6503	16118
575	6517	16111
576	6532	16109
577	6541	16093
578	6554	16085
579	6567	16079
580	6579	16069
581	6590	16058
582	6604	16052
583	6617	16045
584	6627	16031
585	6637	16016
586	6649	16006
587	6659	15991
588	6669	15978
589	6681	15968
590	6692	15956
591	6704	15944
592	6719	15944
593	6736	15944
594	6751	15943
595	6765	15936
596	6777	15927
597	6787	15913
598	6798	15900
599	6808	15887
600	6818	15871
601	6829	15860
602	6842	15851
603	6850	15834
604	6862	15824
605	6874	15814
606	6884	15798
607	6896	15788
608	6908	15779
609	6921	15771
610	6931	15756
611	6945	15752
612	6960	15748
613	6972	15738
614	6981	15723
615	7008	15746
616	7022	15740
617	7037	15736
618	7053	15737
619	7069	15735
620	7084	15732
621	7098	15726
622	7113	15723
623	7126	15714
624	7136	15700
625	7145	15684
626	7162	15684
627	7175	15676
628	7186	15664
629	7197	15651
630	7218	15661
631	7236	15663
632	7252	15661
633	7263	15649
634	7272	15633
635	7282	15618
636	7291	15601
637	7300	15584
638	7310	15570
639	7321	15557
640	7331	15543
641	7341	15528
642	7350	15512
643	7362	15502
644	7375	15494
645	7384	15478
646	7394	15463
647	7404	15448
648	7414	15433
649	7424	15419
650	7432	15402
651	7441	15385
652	7450	15369
653	7466	15367
654	7476	15351
655	7489	15345
656	7508	15348
657	7520	15337
658	7531	15325
659	7545	15320
660	7558	15310
661	7567	15295
662	7583	15291
663	7594	15280
664	7608	15273
665	7618	15259
666	7640	15269
667	7654	15263
668	7665	15250
669	7678	15242
670	7693	15237
671	7702	15222
672	7719	15220
673	7730	15209
674	7744	15202
675	7758	15195
676	7773	15190
677	7782	15175
678	7799	15173
679	7809	15160
680	7822	15151
681	7835	15142
682	7845	15127
683	7857	15117
684	7867	15103
685	7879	15092
686	7891	15083
687	7903	15072
688	7917	15065
689	7926	15049
690	7939	15039
691	7948	15023
692	7959	15011
693	7972	15002
694	7991	15006
695	8004	14996
696	8020	14993
697	8040	14998
698	8058	14998
699	8074	14996
700	8089	14991
701	8103	14983
702	8112	14967
703	8124	14956
704	8138	14949
705	8153	14943
706	8164	14931
707	8176	14921
708	8190	14913
709	8202	14903
710	8211	14887
711	8220	14870
712	8229	14854
713	8238	14839
714	8247	14823
715	8257	14808
716	8266	14792
717	8275	14775
718	8284	14759
719	8292	14742
720	8301	14726
721	8310	14709
722	8318	14692
723	8327	14676
724	8335	14658
725	8344	14642
726	8353	14626
727	8362	14610
728	8370	14594
729	8380	14579
730	8388	14563
731	8397	14546
732	8404	14527
733	8413	14511
734	8422	14495
735	8430	14479
736	8438	14461
737	8446	14444
738	8456	14429
739	8465	14413
740	8473	14396
741	8481	14380
742	8493	14368
743	8501	14351
744	8509	14334
745	8518	14318
746	8526	14302
747	8539	14293
748	8548	14278
749	8556	14261
750	8566	14247
751	8576	14232
752	8585	14217
753	8595	14204
754	8604	14189
755	8613	14173
756	8623	14159
757	8636	14150
758	8647	14139
759	8659	14129
