iter	MAE
0	430.410987
1	424.9600182
2	419.3569358
3	413.7292969
4	409.1518224
5	403.923181
6	398.8518865
7	394.2535794
8	389.7083468
9	384.3791076
10	380.0369577
11	376.0559762
12	372.1035097
13	368.3309703
14	364.4389744
15	361.1576431
16	357.1975639
17	353.6635003
18	350.5958794
19	347.3411646
20	344.0125631
21	340.8699322
22	337.6841562
23	334.5160113
24	331.67678
25	328.8563654
26	325.682646
27	323.390895
28	321.0931552
29	318.2115249
30	316.3663881
31	313.9771866
32	311.3932192
33	308.7188132
34	306.0451408
35	304.1516073
36	302.2789575
37	300.0620369
38	297.6901524
39	295.4981264
40	293.5451734
41	291.6870219
42	289.4116105
43	288.0300409
44	286.2424716
45	284.5974782
46	282.9004537
47	281.0720848
48	279.2051455
49	277.7544331
50	276.4135397
51	275.2082938
52	273.5799862
53	272.3663744
54	270.71579
55	269.5723788
56	268.2476708
57	266.8923763
58	265.4821863
59	264.2720525
60	263.0756826
61	261.7819698
62	260.4065477
63	259.0528367
64	258.1287031
65	256.7218469
66	255.9688005
67	254.8270775
68	253.7163744
69	252.8399001
70	252.1053587
71	250.9989756
72	250.1062326
73	249.1515652
74	248.1901891
75	247.1122368
76	246.4708841
77	245.5892242
78	244.6660191
79	243.7844724
80	242.9998304
81	242.0451626
82	241.0359286
83	239.9995509
84	239.2648245
85	238.408807
86	237.9423774
87	237.0202541
88	236.2411631
89	235.4674952
90	234.8359059
91	234.2743336
92	233.4481285
93	232.0874503
94	231.4494586
95	230.8829784
96	230.1262543
97	229.6874906
98	229.2951317
99	228.7899766
100	227.8008491
101	227.28009
102	226.47076
103	226.0313012
104	225.4949818
105	224.6545068
106	224.2699596
107	223.9220032
108	223.0606687
109	222.410567
110	222.0591627
111	221.3566586
112	220.9332764
113	220.3724221
114	219.7991455
115	219.5138619
116	218.8667687
117	218.6476804
118	218.3172849
119	217.9031038
120	217.2607766
121	216.7898117
122	216.1933016
123	215.8683969
124	215.1425308
125	214.6794399
126	213.742397
127	213.2539204
128	212.8231014
129	212.3478967
130	211.9279317
131	211.4475411
132	211.2196604
133	210.9683102
134	210.6057739
135	210.3837882
136	209.9928557
137	209.633143
138	209.3105209
139	208.6905555
140	208.3434855
141	207.8236675
142	207.2128919
143	206.7916968
144	206.3299544
145	205.8201157
146	205.3129127
147	204.7076861
148	204.3882204
149	203.700947
150	203.4538539
151	203.0260734
