date,day_of_week,school_visitors,public_visitors,total_visitors,extra,opening_hours
2016-05-03,úterý,719.0,201.0,920.0,,
2016-05-04,středa,168.0,174.0,342.0,,
2016-05-05,čtvrtek,454.0,254.0,708.0,,
2016-05-06,pátek,81.0,203.0,284.0,,
2016-05-07,sobota,0.0,448.0,448.0,,
2016-05-08,neděle,0.0,267.0,267.0,,
2016-05-09,pondělí,111.0,98.0,209.0,,
2016-05-10,úterý,412.0,222.0,634.0,,
2016-05-11,středa,476.0,165.0,641.0,,
2016-05-12,čtvrtek,608.0,196.0,804.0,,
2016-05-13,pátek,94.0,151.0,245.0,,
2016-05-14,sobota,0.0,676.0,676.0,,
2016-05-15,neděle,0.0,804.0,804.0,,
2016-05-16,pondělí,270.0,226.0,496.0,,
2016-05-17,úterý,371.0,278.0,649.0,,
2016-05-18,středa,233.0,233.0,466.0,,
2016-05-19,čtvrtek,234.0,143.0,377.0,,
2016-05-20,pátek,99.0,136.0,235.0,,
2016-05-21,sobota,0.0,479.0,479.0,,
2016-05-22,neděle,19.0,172.0,191.0,,
2016-05-23,pondělí,263.0,253.0,516.0,,
2016-05-24,úterý,240.0,139.0,379.0,,
2016-05-25,středa,356.0,195.0,551.0,,
2016-05-26,čtvrtek,376.0,486.0,862.0,,
2016-05-27,pátek,469.0,119.0,588.0,,
2016-05-28,sobota,0.0,557.0,557.0,,
2016-05-29,neděle,0.0,301.0,301.0,,
2016-05-30,pondělí,368.0,135.0,503.0,,
2016-05-31,úterý,568.0,201.0,769.0,,
2016-06-01,středa,338.0,225.0,563.0,,
2016-06-02,čtvrtek,425.0,354.0,779.0,,
2016-06-03,pátek,377.0,179.0,556.0,,
2016-06-04,sobota,0.0,511.0,511.0,,
2016-06-05,neděle,0.0,320.0,320.0,,
2016-06-06,pondělí,350.0,210.0,560.0,,
2016-06-07,úterý,772.0,176.0,948.0,,
2016-06-08,středa,605.0,304.0,909.0,,
2016-06-09,čtvrtek,638.0,217.0,855.0,,
2016-06-10,pátek,587.0,194.0,781.0,,
2016-06-11,sobota,0.0,598.0,598.0,,
2016-06-12,neděle,0.0,611.0,611.0,,
2016-06-13,pondělí,495.0,174.0,669.0,,
2016-06-14,úterý,726.0,179.0,905.0,,
