iter	Passed	Remaining
406	5682	22240
407	5694	22221
408	5706	22197
409	5718	22177
410	5731	22157
411	5743	22139
412	5755	22115
413	5767	22094
414	5780	22077
415	5795	22066
416	5808	22048
417	5820	22027
418	5832	22007
419	5844	21985
420	5857	21968
421	5869	21946
422	5881	21926
423	5894	21908
424	5906	21890
425	5918	21868
426	5930	21846
427	5941	21824
428	5953	21801
429	5966	21783
430	5978	21763
431	5990	21743
432	6002	21721
433	6014	21702
434	6027	21685
435	6039	21666
436	6052	21646
437	6063	21624
438	6075	21603
439	6086	21579
440	6097	21556
441	6110	21538
442	6122	21519
443	6135	21501
444	6149	21489
445	6161	21469
446	6174	21452
447	6187	21435
448	6200	21417
449	6212	21400
450	6225	21381
451	6237	21360
452	6251	21347
453	6263	21327
454	6275	21308
455	6287	21290
456	6299	21270
457	6311	21249
458	6323	21229
459	6336	21212
460	6347	21191
461	6359	21171
462	6373	21158
463	6387	21146
464	6401	21131
465	6414	21115
466	6427	21100
467	6440	21083
468	6453	21067
469	6466	21050
470	6478	21032
471	6490	21012
472	6504	20998
473	6515	20975
474	6526	20954
475	6537	20932
476	6549	20911
477	6560	20889
478	6572	20871
479	6585	20855
480	6599	20841
481	6612	20825
482	6628	20818
483	6641	20803
484	6654	20787
485	6668	20775
486	6683	20764
487	6699	20758
488	6720	20766
489	6735	20755
490	6750	20746
491	6766	20738
492	6784	20739
493	6798	20725
494	6813	20717
495	6830	20710
496	6848	20711
497	6870	20721
498	6892	20733
499	6906	20718
500	6921	20707
501	6934	20692
502	6947	20676
503	6962	20667
504	6975	20651
505	6988	20634
506	7000	20615
507	7015	20605
508	7027	20586
509	7041	20571
510	7053	20553
511	7066	20537
512	7079	20521
513	7091	20502
514	7103	20484
515	7116	20466
516	7128	20449
517	7141	20431
518	7153	20413
519	7166	20396
520	7178	20378
521	7192	20364
522	7205	20350
523	7219	20334
524	7232	20318
525	7244	20301
526	7258	20287
527	7270	20267
528	7282	20250
529	7294	20232
530	7308	20218
531	7321	20202
532	7337	20194
533	7350	20179
534	7363	20163
535	7376	20146
